ppm,kHz,-30,100,160
600,240.084,-142.1154785,-151.8452148,6.98828125
599.8093422,240.0077102,-162.4555664,-74.42285156,-100.9453125
599.6186845,239.9314204,-114.1247559,-35.06225586,-22.67578125
599.4280267,239.8551306,-8.722412109,-51.83081055,131.53125
599.2373689,239.7788408,87.99072266,-40.41308594,149.609375
599.0467112,239.702551,97.29248047,30.61303711,11.203125
598.8560534,239.6262612,6.920654297,87.81933594,-97.51171875
598.6653956,239.5499714,-101.4321289,71.34814453,-57.26953125
598.4747378,239.4736816,-137.1889648,21.40722656,34
598.2840801,239.3973918,-105.9057617,4.549072266,34.01953125
598.0934223,239.321102,-86.6484375,14.82861328,-37.125
597.9027645,239.2448122,-108.4460449,5.993164063,-57.21484375
597.7121068,239.1685224,-111.1120605,-15.69018555,4.66015625
597.521449,239.0922326,-50.63476563,0.68359375,68.8671875
597.3307912,239.0159428,18.21899414,57.33886719,90.9296875
597.1401335,238.939653,12.23803711,87.37036133,111.6992188
596.9494757,238.8633632,-67.41503906,48.48217773,148.6679688
596.7588179,238.7870734,-142.2097168,-11.00439453,138.4179688
596.5681602,238.7107836,-148.7231445,-17.68774414,37.15625
596.3775024,238.6344938,-82.15234375,24.26489258,-87.24609375
596.1868446,238.558204,20.13574219,44.17797852,-124.0234375
595.9961868,238.4819142,90.62817383,11.16259766,-47.97265625
595.8055291,238.4056244,63.19995117,-24.13134766,67.16015625
595.6148713,238.3293346,-45.75219727,-12.93115234,138.3398438
595.4242135,238.2530448,-119.4934082,15.02197266,133.2890625
595.2335558,238.176755,-77.93237305,4.410644531,63.7265625
595.042898,238.1004652,-3.232421875,-26.71240234,-29.26953125
594.8522402,238.0241754,-33.62158203,-9.349853516,-86.8125
594.6615825,237.9478856,-149.2585449,54.46899414,-74.94140625
594.4709247,237.8715958,-189.0964355,69.46508789,-25.53515625
594.2802669,237.795306,-101.2172852,-13.14575195,-3.265625
594.0896092,237.7190162,-35.3840332,-98.88916016,-24.5
593.8989514,237.6427264,-110.0773926,-67.06323242,-39.0859375
593.7082936,237.5664366,-212.6972656,51.12915039,-4.3671875
593.5176358,237.4901468,-160.2380371,104.8640137,51.609375
593.3269781,237.413857,20.1472168,35.75024414,63.6640625
593.1363203,237.3375672,124.3405762,-39.88964844,12.07421875
592.9456625,237.2612774,59.1953125,-3.772705078,-51.48828125
592.7550048,237.1849876,-54.328125,91.38452148,-61.76171875
592.564347,237.1086978,-84.07373047,101.041748,-11.8984375
592.3736892,237.032408,-52.92114258,-4.184570313,39.8984375
592.1830315,236.9561182,-43.50878906,-104.2548828,39.0390625
591.9923737,236.8798284,-50.87036133,-98.90722656,5.0625
591.8017159,236.8035386,-22.09155273,-26.74047852,14.84375
591.6110582,236.7272488,26.21533203,11.98022461,102.3671875
591.4204004,236.650959,27.65283203,-12.51123047,195.5078125
591.2297426,236.5746692,-25.20825195,-50.16967773,186.0234375
591.0390848,236.4983794,-71.99682617,-55.83105469,59.62109375
590.8484271,236.4220896,-75.14038086,-32.44506836,-80.328125
590.6577693,236.3457998,-56.13916016,-2.340820313,-129.8242188
590.4671115,236.26951,-44.46655273,21.71801758,-90.91015625
590.2764538,236.1932202,-44.61352539,31.87988281,-39.9375
590.085796,236.1169304,-56.65234375,20.30126953,-20.48046875
589.8951382,236.0406406,-81.99414063,-7.598876953,-8.71484375
589.7044805,235.9643508,-100.0305176,-26.69189453,23.40234375
589.5138227,235.888061,-78.78881836,-10.66210938,53.59375
589.3231649,235.8117712,-22.33569336,40.90917969,36.97265625
589.1325071,235.7354814,21.81347656,94.90039063,-29.80859375
588.9418494,235.6591916,16.05175781,109.121582,-93.515625
588.7511916,235.5829018,-26.15063477,72.33740234,-96.3125
588.5605338,235.506612,-60.35083008,18.11230469,-36.05078125
588.3698761,235.4303222,-56.90771484,-10.74975586,32.23046875
588.1792183,235.3540324,-23.35522461,-8.384521484,56.69921875
587.9885605,235.2777426,5.862304688,-2.502197266,41.328125
587.7979028,235.2014528,3.343261719,-9.566162109,27.75
587.607245,235.125163,-17.25219727,-17.57519531,35.26171875
587.4165872,235.0488732,-12.78295898,-16.38110352,43.90625
587.2259295,234.9725834,27.36376953,-14.82543945,35.37890625
587.0352717,234.8962936,50.31103516,-12.90991211,17.07421875
586.8446139,234.8200038,1.815673828,13.04321289,-5.46875
586.6539561,234.743714,-95.53588867,69.55419922,-42.82421875
586.4632984,234.6674242,-166.465332,111.5048828,-84.90625
586.2726406,234.5911344,-177.3859863,84.32861328,-88.49609375
586.0819828,234.5148446,-159.9829102,-4.920898438,-41.3203125
585.8913251,234.4385548,-141.545166,-88.03198242,-5.08203125
585.7006673,234.362265,-108.6040039,-106.8251953,-37.65625
585.5100095,234.2859752,-57.4152832,-62.35839844,-93.72265625
585.3193518,234.2096854,-25.00610352,1.813964844,-74.5859375
585.128694,234.1333956,-33.99951172,40.51904297,23.92578125
